id,product_name,product_sku,product_price,product_size,brand,category,main_photo,description,in_stock,created_at,gallery_1,gallery_2,gallery_3,brand_category,product_type
108,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-2,9600.0,"S,M,L",Faiza Faisal,Stitched,1747728844_WhatsApp Image 2025-05-20 at 09.02.28.jpeg,0,1,2025-05-20 14:11:12,1747728844_gallery_1_WhatsApp Image 2025-05-20 at 09.02.29.jpeg,1747728844_gallery_2_WhatsApp Image 2025-05-20 at 09.02.28 (1).jpeg,,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
109,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-3,9600.0,"S,M,L",Faiza Faisal,Stitched,1747728876_WhatsApp Image 2025-05-20 at 09.02.15.jpeg,0,1,2025-05-20 14:11:26,1747728876_gallery_1_WhatsApp Image 2025-05-20 at 09.02.16.jpeg,1747728876_gallery_2_WhatsApp Image 2025-05-20 at 09.02.16 (1).jpeg,1747728876_gallery_3_WhatsApp Image 2025-05-20 at 09.02.15.jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
110,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-4,10000.0,"S,M,L",Faiza Faisal,Stitched,1747738277_WhatsApp Image 2025-05-20 at 11.49.38_3dc94fea.jpg,0,1,2025-05-20 14:11:30,1747738277_gallery_1_WhatsApp Image 2025-05-20 at 11.49.38_dfe2d606.jpg,1747738277_gallery_2_WhatsApp Image 2025-05-20 at 11.49.38_ac43e4a1.jpg,1747738277_gallery_3_WhatsApp Image 2025-05-20 at 11.49.38_ac782892.jpg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
111,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-5,10000.0,"S,M,L",Faiza Faisal,Stitched,1747728923_WhatsApp Image 2025-05-20 at 09.02.09 (1).jpeg,0,1,2025-05-20 14:11:34,1747728923_gallery_1_WhatsApp Image 2025-05-20 at 09.02.09.jpeg,1747728923_gallery_2_WhatsApp Image 2025-05-20 at 09.02.10 (1).jpeg,1747728923_gallery_3_WhatsApp Image 2025-05-20 at 09.02.10.jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
112,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-6,10000.0,"S,M,L",Faiza Faisal,Stitched,1747728965_WhatsApp Image 2025-05-20 at 09.02.19.jpeg,0,1,2025-05-20 14:11:38,1747728965_gallery_1_WhatsApp Image 2025-05-20 at 09.02.21.jpeg,1747728965_gallery_2_WhatsApp Image 2025-05-20 at 09.02.22 (1).jpeg,1747728965_gallery_3_WhatsApp Image 2025-05-20 at 09.02.22.jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
113,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-7,10000.0,"S,M,L",Faiza Faisal,Stitched,1747728990_WhatsApp Image 2025-05-20 at 09.02.24.jpeg,0,1,2025-05-20 14:11:41,1747728990_gallery_1_WhatsApp Image 2025-05-20 at 09.02.24 (1).jpeg,1747728990_gallery_2_WhatsApp Image 2025-05-20 at 09.02.24 (2).jpeg,1747728990_gallery_3_WhatsApp Image 2025-05-20 at 09.02.25 (1).jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
114,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-8,10000.0,"S,M,L",Faiza Faisal,Stitched,1747729020_WhatsApp Image 2025-05-20 at 09.02.30.jpeg,0,1,2025-05-20 14:11:45,1747729020_gallery_1_WhatsApp Image 2025-05-20 at 09.02.30 (1).jpeg,1747729020_gallery_2_WhatsApp Image 2025-05-20 at 09.02.31 (1).jpeg,1747729020_gallery_3_WhatsApp Image 2025-05-20 at 09.02.31.jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
115,FAIZA FAISAL MARINE Luxury Lawn 25,FF01-9,10000.0,"S,M,L",Faiza Faisal,Stitched,1747729055_WhatsApp Image 2025-05-20 at 09.02.26 (1).jpeg,0,1,2025-05-20 14:11:50,1747729055_gallery_1_WhatsApp Image 2025-05-20 at 09.02.28 (2).jpeg,1747729055_gallery_2_WhatsApp Image 2025-05-20 at 09.02.25.jpeg,1747729055_gallery_3_WhatsApp Image 2025-05-20 at 09.02.26.jpeg,FAIZA FAISAL MARINE Luxury Lawn 25,Lawn
116,SADABAHAR,SD01,6350.0,"S,M,L",Sadabahar,Stitched,1753610956_main.webp,"3PC   DRESS ORGANZA AND PANT SILK,  DUPATTA ORGANZA",1,2025-05-20 14:29:36,1753610956_gallery_1.webp,1747729776_gallery_1_WhatsApp Image 2025-05-20 at 09.25.52 (1).jpeg,1753610956_gallery_3.webp,SADABAHAR 3PCS,Luxury Lawn
117,SADABAHAR,SD01-1,6350.0,"S,M,L",Sadabahar,Stitched,1747729871_WhatsApp Image 2025-05-20 at 09.25.59 (1).jpeg,"3PC   DRESS ORGANZA AND PANT SILK,  DUPATTA ORGANZA",1,2025-05-20 14:29:45,1747729871_gallery_1_WhatsApp Image 2025-05-20 at 09.25.59.jpeg,1747729871_gallery_2_WhatsApp Image 2025-05-20 at 09.25.59 (1).jpeg,1747729871_gallery_3_WhatsApp Image 2025-05-20 at 09.25.59.jpeg,SADABAHAR 3PCS,Luxury Lawn
